id;expname;subject;ip;condnum;choice;submitted;event;name;value;time
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;onload;body;body;26
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;subject;random;1;32
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;order;col;0_1;32
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;order;row;1_0;32
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;events;open_close;1_1;32
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseover;b0;in;726
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseout;b0;out;766
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseover;a0;in;779
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseout;a0;out;791
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseover;a0;in;915
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;click;b0;;1427
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseout;a0;out;1500
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseover;a1;in;1540
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseout;a1;out;2402
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseover;b1;in;2403
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;click;a1;;2942
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseout;b1;out;3190
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseover;b0;in;3216
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;click;a0;;3676
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseout;b0;out;3824
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseover;a1;in;3961
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;click;b1;;4161
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseout;a1;out;4421
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseover;btn2;Strategie 2;4558
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;onclick;btn2;Strategie 1;4783
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseout;btn2;Strategie 2;4945
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseover;btn1;Strategie 1;5005
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;onclick;btn1;Strategie 2;5365
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseout;btn1;Strategie 1;5578
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseover;b1;in;5589
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;mouseout;b1;out;5602
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;submit;submit;submit;6089
0;1_2x2_2.php;"2R_1,10.158.8.9""";-1;;;25.01.2014 14:35;submit;erwartung;null;8467
4;1_2x2_2.php;"2R_2,10.158.8.9""";-1;;;25.01.2014 14:38;onload;body;body;18
4;1_2x2_2.php;"2R_2,10.158.8.9""";-1;;;25.01.2014 14:38;subject;random;0;22
4;1_2x2_2.php;"2R_2,10.158.8.9""";-1;;;25.01.2014 14:38;order;col;0_1;22
4;1_2x2_2.php;"2R_2,10.158.8.9""";-1;;;25.01.2014 14:38;order;row;0_1;22
4;1_2x2_2.php;"2R_2,10.158.8.9""";-1;;;25.01.2014 14:38;events;open_close;1_1;22
4;1_2x2_2.php;"2R_2,10.158.8.9""";-1;;;25.01.2014 14:38;mouseover;b0;in;616
