"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""onload\",\"body\",\"body\",\"55\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""subject\",\"random\",\"0\",\"62\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""order\",\"col\",\"0_1_2_3\",\"62\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""order\",\"row\",\"0_1_2_3\",\"62\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""events\",\"open_close\",\"1_1\",\"62\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""mouseover\",\"b3\",\"in\",\"936\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""mouseout\",\"b3\",\"out\",\"1192\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""mouseover\",\"a3\",\"in\",\"1216\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""click\",\"a3\",\"\",\"1478\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""mouseout\",\"a3\",\"out\",\"1750\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""mouseover\",\"a2\",\"in\",\"1776\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""click\",\"a2\",\"\",\"1902\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""mouseout\",\"a2\",\"out\",\"2149\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""mouseover\",\"a1\",\"in\",\"2175\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""mouseout\",\"a1\",\"out\",\"3243\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""mouseover\",\"a0\",\"in\",\"3269\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""click\",\"a0\",\"\",\"3455\"
"2","1_4x4_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:18",""mouseout\",\"a0\",\"out\",\"3566\"
